#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
MB0161	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAb [SECOND PART; INTEGRAL MEMBRANE PROTEIN] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA)	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0162	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB [INTEGRAL MEMBRANE PROTEIN] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT BETA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT BETA)	14	566.0	664.6	0.23	1606.00	0.09393	0.37472
MB0162A	NA	Conserved protein	4	81.5	28.5	-1.52	131.50	0.90078	1.00000
MB0163	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)	16	450.8	432.6	-0.06	2067.00	0.15891	0.48661
MB0164c	PE3	pe family protein pe3	47	292.5	323.8	0.15	19712.50	0.00446	0.08860
MB0165c	PE4	pe family protein pe4	37	198.6	322.9	0.70	11147.00	0.25534	0.60119
MB0166	NA	possible oxidoreductase	14	158.9	143.6	-0.15	1151.00	0.08494	0.35663
MB0167c	adhE1	probable zinc-type alcohol dehydrogenase (e subunit) adhe1	15	123.4	55.6	-1.15	1855.00	0.00038	0.02910
MB0168	NA	Propionyl-CoA thioesterase activity	10	156.0	106.4	-0.55	1004.00	0.03423	0.23631
MB0169	TB18.5	Cyclase/dehydrase family protein	6	3170.5	655.9	-2.27	14.00	0.11429	0.41699
MB0170c	mce1r	Probable transcriptional regulatory protein Mce1R (probably GntR-family)	6	289.0	285.6	-0.02	226.00	0.48276	0.79760
MB0172	fadD5	PROBABLE FATTY-ACID-CoA LIGASE FADD5 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)	27	157.2	298.5	0.93	4898.00	0.05322	0.29059
MB0173	yrbE1A	conserved integral membrane protein yrbe1a	6	18.4	172.7	3.23	53.00	0.24435	0.58815
MB0174	yrbE1B	conserved integral membrane protein yrbe1b	14	250.7	74.5	-1.75	1426.50	0.02858	0.21610
MB0175	mce1A	MCE-FAMILY PROTEIN MCE1A	36	95.0	84.9	-0.16	7969.50	0.00361	0.08067
MB0176	mce1B	MCE-FAMILY PROTEIN MCE1B	17	90.0	424.6	2.24	1227.00	0.52666	0.83353
MB0177	mce1C	MCE-FAMILY PROTEIN MCE1C	24	129.8	3.9	-5.07	4249.00	0.00442	0.08860
MB0178	mce1D	MCE-FAMILY PROTEIN MCE1D	31	48.9	65.7	0.43	6297.00	0.95205	1.00000
MB0179	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E)	15	77.5	44.6	-0.80	833.00	0.72616	0.97603
MB0180	mce1F	MCE-FAMILY PROTEIN MCE1F	29	67.7	83.5	0.30	4378.50	0.07936	0.34518
MB0181	NA	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN	8	41.8	54.3	0.38	263.00	0.55454	0.85484
MB0182	NA	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN	13	20.9	86.0	2.04	475.00	0.55712	0.85591
MB0183	NA	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN	10	63.8	0.1	-9.27	412.50	0.00077	0.03860
MB0184	NA	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN	9	19.8	102.5	2.37	457.50	0.21390	0.54617
MB0185c	lprO	possible lipoprotein lpro	21	246.8	325.7	0.40	3162.00	0.89524	1.00000
MB0186c	Mb0186c	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	28	266.5	257.1	-0.05	6789.50	0.00074	0.03781
MB0187c	NA	Pirin	15	149.0	69.2	-1.11	1836.50	0.09792	0.38342
MB0188c	sigG	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGG (RNA POLYMERASE ECF TYPE SIGMA FACTOR)	21	225.3	443.3	0.98	3281.50	0.13070	0.44351
MB0189	NA	POSSIBLE LYSOPHOSPHOLIPASE	15	185.5	89.1	-1.06	1983.50	0.01140	0.14236
MB0190	NA	CONSERVED HYPOTHETICAL PROTEIN	11	96.2	95.6	-0.01	607.00	0.18276	0.51604
MB0191	NA	CONSERVED HYPOTHETICAL PROTEIN	7	180.7	183.8	0.02	323.00	0.44273	0.77196
MB0192	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE)	30	128.1	132.2	0.05	5565.00	0.00505	0.09456
MB0192A	mymT	Metallothionein, MymT	3	94.5	0.0	-6.58	12.00	0.18588	0.51604
MB0193	NA	PROBABLE O-METHYLTRANSFERASE	6	341.7	233.4	-0.55	174.00	0.48441	0.79815
MB0194	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	8	259.6	252.6	-0.04	343.00	0.22529	0.56043
MB0195c	ilvD	PROBABLE DIHYDROXY-ACID DEHYDRATASE ILVD (DAD)	19	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0196	ricR	Metal-sensitive transcriptional repressor	3	247.8	300.8	0.28	64.50	0.68546	0.94970
MB0197	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	15	429.1	593.5	0.47	1784.00	0.93460	1.00000
MB0198	NA	L,D-transpeptidase	12	306.8	254.7	-0.27	1166.00	0.09701	0.38166
MB0199c	NA	HYPOTHETICAL PROTEIN	33	214.6	294.2	0.46	8447.00	0.16729	0.50124
MB0200	NA	probable transmembrane multidrug efflux pump	51	251.8	308.7	0.29	20377.00	0.06538	0.31926
MB0201	NA	possible two component transcriptional regulatory protein (probably luxr-family)	6	224.2	456.7	1.03	277.50	0.83358	1.00000
MB0202	NA	possible transcriptional regulatory protein	7	148.4	195.6	0.40	467.00	0.20091	0.53466
MB0203	NA	POSSIBLE OXIDOREDUCTASE	29	153.8	56.0	-1.46	4732.00	0.00261	0.07154
MB0204c	zmp1	probable zinc metalloprotease zmp1	34	52.1	94.3	0.86	5099.00	0.78022	1.00000
MB0205	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	9	197.5	140.7	-0.49	502.50	0.04077	0.25528
MB0206	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	4	7.3	13.9	0.94	35.00	0.70013	0.95811
MB0207c	NA	conserved protein	8	195.8	30.3	-2.69	539.00	0.01085	0.13932
MB0208c	mmpL11	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11	36	136.4	172.8	0.34	9300.50	0.04084	0.25530
MB0209	NA	POSSIBLE EXPORTED PROTEIN	3	179.5	111.4	-0.69	74.00	0.92912	1.00000
MB0210c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	22	37.2	2.3	-4.03	81.00	0.48955	0.80074
MB0211	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	11	137.2	384.8	1.49	502.00	0.06719	0.32340
MB0212c	mmpL3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3	31	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0213c	NA	CONSERVED HYPOTHETICAL PROTEIN	7	106.3	84.5	-0.33	511.00	0.02553	0.20568
MB0214c	NA	HYPOTHETICAL METHLYTRANSFERASE (METHYLASE)	11	87.5	148.4	0.76	902.00	0.29378	0.65043
MB0215	NA	HYPOTHETICAL PROTEIN	11	214.1	433.5	1.02	610.50	0.66528	0.93787
MB0216	NA	HYPOTHETICAL PROTEIN	12	290.1	271.8	-0.09	1013.00	0.03615	0.24250
MB0217	pckA	probable iron-regulated phosphoenolpyruvate carboxykinase [gtp] pcka (phosphoenolpyruvate carboxylase) (pepck)(pep carboxykinase)	22	31.4	112.0	1.83	1715.50	0.07816	0.34381
MB0218c	nadR	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY)	6	124.5	45.3	-1.46	392.00	0.02253	0.19148
MB0219c	NA	POSSIBLE METHYLTRANSFERASE (METHYLASE)	29	117.6	222.2	0.92	5012.50	0.25506	0.60119
MB0220	fadD4	PROBABLE FATTY-ACID-COA LIGASE FADD4 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	31	115.6	162.7	0.49	6259.00	0.31985	0.66952
MB0221c	fadE3	PROBABLE ACYL-COA DEHYDROGENASE FADE3	20	155.7	201.4	0.37	2882.00	0.98206	1.00000
MB0222	NA	double hotdog hydratase	21	94.8	60.7	-0.64	1081.00	0.27586	0.62759
MB0223c	lipW	POSSIBLE ESTERASE LIPW	20	88.7	166.9	0.91	2464.00	0.03601	0.24250
MB0224	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	17	86.8	35.2	-1.30	2787.00	0.02127	0.18305
MB0225	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	11	73.8	46.7	-0.66	661.50	0.87010	1.00000
MB0226	lipC	PROBABLE ESTERASE LIPC	23	56.4	172.3	1.61	1300.50	0.70499	0.96238
MB0227	NA	possible triacylglycerol synthase (diacylglycerol acyltransferase)	13	206.1	57.5	-1.84	1121.50	0.00038	0.02910
MB0228c	NA	PROBABLE ALDEHYDE DEHYDROGENASE	19	203.1	319.7	0.65	1991.00	0.27964	0.63086
MB0229c	NA	POSSIBLE METHYLTRANSFERASE (METHYLASE)	14	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0230	NA	Glycosyltransferase	17	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0231c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	27	283.8	33.0	-3.11	38.00	0.52445	0.83225
MB0232c	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	19	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0233	NA	PROBABLE INTEGRAL MEMBRANE ACYLTRANSFERASE	13	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0234c	NA	possible conserved membrane protein with pin domain	16	91.7	232.8	1.34	765.50	0.07153	0.32879
MB0235c	php	PROBABLE PHOSPHOTRIESTERASE PHP (PARATHION HYDROLASE) (PTE) (ARYLDIALKYLPHOSPHATASE) (PARAOXONASE) (A-ESTERASE) (ARYLTRIPHOSPHATASE) (PARAOXON HYDROLASE)	15	482.2	889.0	0.88	1181.00	0.83312	1.00000
MB0236	fadE4	PROBABLE ACYL-COA DEHYDROGENASE FADE4	35	228.6	317.7	0.47	11002.50	0.00487	0.09211
MB0237	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)	9	517.0	292.8	-0.82	953.00	0.00052	0.03308
MB0238	nrdB	ribonucleoside-diphosphate reductase (beta chain) nrdb (ribonucleotide reductase small chain)	11	357.1	1422.6	1.99	785.50	0.89096	1.00000
MB0239c	gabD1	succinate-semialdehyde dehydrogenase [nadp+] dependent (ssdh) gabd1	20	69.2	80.8	0.22	1225.00	0.33261	0.68518
MB0240c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	26	108.0	153.2	0.51	2876.00	0.20375	0.53762
MB0241c	aftd	possible arabinofuranosyltransferase aftd	32	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0242c	NA	SMALL SECRETED PROTEIN	2	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0243	lpqI	PROBABLE CONSERVED LIPOPROTEIN LPQI	11	74.9	171.2	1.19	207.50	0.83961	1.00000
MB0244	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)	11	50.0	153.4	1.62	675.50	0.72359	0.97486
MB0245	vapb24	possible antitoxin vapb24	2	129.1	0.0	-7.02	12.00	0.18588	0.51604
MB0246	vapc24	possible toxin vapc24. contains pin domain.	8	205.7	49.2	-2.06	722.00	0.00246	0.06914
MB0247c	htdx	probable 3-hydroxyacyl-thioester dehydratase htdx	14	92.3	456.7	2.31	818.00	0.85463	1.00000
MB0248c	fabG4	PROBABLE 3-OXOACYL-[ACYL-CARRIER PROTEIN] REDUCTASE FABG4 (3-KETOACYL-ACYL CARRIER PROTEIN REDUCTASE)	10	77.2	179.9	1.22	435.00	0.26141	0.60946
MB0249	fadA2	PROBABLE ACETYL-COA ACYLTRANSFERASE FADA2 (3-KETOACYL-COA THIOLASE) (BETA-KETOTHIOLASE)	19	231.0	333.2	0.53	3102.00	0.03647	0.24324
MB0250c	fadE5	PROBABLE ACYL-COA DEHYDROGENASE FADE5	23	7.6	1.1	-2.81	216.00	0.52670	0.83353
MB0251	NA	possible oxidoreductase	3	581.8	101.0	-2.53	109.50	0.02953	0.22000
MB0252	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	31	164.3	113.2	-0.54	7253.50	0.00072	0.03731
MB0253c	NA	PROBABLE SUCCINATE DEHYDROGENASE [IRON-SULFUR SUBUNIT] (SUCCINIC DEHYDROGENASE)	12	13.5	13.0	-0.05	573.00	0.33047	0.68271
MB0254c	NA	PROBABLE SUCCINATE DEHYDROGENASE [IRON-SULFUR SUBUNIT] (SUCCINIC DEHYDROGENASE)	37	21.4	64.9	1.60	7373.00	0.71127	0.96421
MB0255c	NA	probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)	23	62.3	31.5	-0.98	2949.00	0.10316	0.39517
MB0256c	NA	conserved protein	4	332.1	16.3	-4.35	119.50	0.00245	0.06914
MB0257c	hsp	HEAT SHOCK PROTEIN HSP (HEAT-STRESS-INDUCED RIBOSOME-BINDING PROTEIN A)	5	108.6	156.5	0.53	139.00	0.68207	0.94970
MB0258	nirB	PROBABLE NITRITE REDUCTASE [NAD(P)H] LARGE SUBUNIT [FAD FLAVOPROTEIN] NIRB	36	328.0	175.1	-0.91	10650.00	0.00114	0.04660
MB0259	nirD	PROBABLE NITRITE REDUCTASE [NAD(P)H] SMALL SUBUNIT NIRD	5	276.6	322.0	0.22	269.00	0.04764	0.27614
MB0260c	cobU	probable bifunctional cobalamin biosynthesis protein cobu: cobinamide kinase + cobinamide phosphate guanylyltransferase	5	137.2	888.5	2.70	172.00	0.44709	0.77196
MB0261c	cobQ1	probable cobyric acid synthase cobq1	13	153.0	53.9	-1.51	1307.00	0.22820	0.56251
MB0262c	PPE2	ppe family protein ppe2	29	229.8	173.9	-0.40	7152.00	0.05780	0.29782
MB0263	NA	CONSERVED HYPOTHETICAL PROTEIN	1	1.5	0.0	-1.30	12.00	0.18588	0.51604
MB0264c	NA	CONSERVED HYPOTHETICAL PROTEIN	5	46.4	18.0	-1.37	91.00	0.21944	0.55409
MB0265c	NA	Sirohydrochlorin ferrochelatase SirB (EC 4.99.1.4)	8	70.8	8.8	-3.01	149.00	0.34715	0.69787
MB0266c	NA	possible transcriptional regulatory protein	20	46.8	48.3	0.04	1979.00	0.68868	0.95237
MB0267c	narK3	PROBABLE INTEGRAL MEMBRANE NITRITE EXTRUSION PROTEIN NARK3 (NITRITE FACILITATOR)	24	59.2	60.7	0.04	2449.50	0.50800	0.81698
MB0268c	aac	AMINOGLYCOSIDE 2'-N-ACETYLTRANSFERASE AAC (AAC(2')-IC)	7	268.6	218.2	-0.30	445.00	0.34515	0.69700
MB0269c	NA	Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	14	67.6	197.2	1.54	725.00	0.42571	0.77190
MB0270c	NA	Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	9	140.8	240.5	0.77	436.00	0.46208	0.77964
MB0271c	NA	PROBABLE PERIPLASMIC IRON-TRANSPORT LIPOPROTEIN	9	318.2	223.3	-0.51	819.00	0.04851	0.27912
MB0272c	oplA	PROBABLE 5-OXOPROLINASE OPLA (5-OXO-L-PROLINASE) (PYROGLUTAMASE) (5-OPASE)	37	332.6	204.9	-0.70	9482.00	0.00098	0.04321
MB0273	narU	probable integral membrane nitrite extrusion protein naru (nitrite facilitator)	15	413.5	458.4	0.15	1604.00	0.83309	1.00000
MB0274c	NA	Antitoxin of toxin-antitoxin stability system	13	466.0	699.0	0.58	1257.00	0.53613	0.84061
MB0275c	NA	ATP-dependent DNA ligase (EC 6.5.1.1)	10	262.7	365.8	0.48	652.00	0.96826	1.00000
MB0276	fadD2	PROBABLE FATTY-ACID-COA LIGASE FADD2 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	24	255.3	300.8	0.24	4386.00	0.12143	0.43041
MB0277c	fadE6	PROBABLE ACYL-COA DEHYDROGENASE FADE6	32	108.4	149.4	0.46	7819.00	0.20569	0.53817
MB0278c	NA	unknown protein	13	256.7	30.7	-3.07	834.00	0.01159	0.14290
MB0279c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	17	37.8	10.6	-1.83	952.00	0.07602	0.33870
MB0280	NA	Glyoxalase family protein	8	125.8	232.0	0.88	213.00	0.72049	0.97276
MB0281c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)	6	239.6	33.9	-2.82	265.00	0.05257	0.28932
MB0282	NA	CONSERVED HYPOTHETICAL PROTEIN	15	249.0	226.0	-0.14	1460.00	0.01895	0.17705
MB0283c	vapc25	possible toxin vapc25. contains pin domain.	6	80.8	206.3	1.35	213.00	0.71469	0.96751
MB0284c	PE_PGRS3b	PE-PGRS FAMILY PROTEIN [SECOND PART]	1	324.6	0.0	-8.35	14.00	0.06892	0.32340
MB0285c	PE_PGRS3a	PE-PGRS FAMILY PROTEIN [FIRST PART]	18	144.8	201.1	0.47	2523.00	0.34013	0.69277
MB0286c	PE_PGRS3	PE-PGRS FAMILY PROTEIN	13	41.7	91.3	1.13	899.00	0.28017	0.63086
MB0287c	PE_PGRS4	pe-pgrs family protein pe_pgrs4	16	174.8	152.7	-0.19	2135.00	0.06767	0.32340
MB0288	PPE3	ppe family protein ppe3	23	208.3	331.4	0.67	3219.00	0.94892	1.00000
MB0289	NA	possible s-adenosylmethionine-dependent methyltransferase	13	184.0	183.3	-0.01	1539.50	0.20045	0.53401
MB0290	ecca3	esx conserved component ecca3. esx-3 type vii secretion system protein.	22	110.4	0.0	-6.80	12.00	0.18588	0.51604
MB0291	eccb3	esx conserved component eccb3. esx-3 type vii secretion system protein. possible membrane protein.	16	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0292	eccc3	esx conserved component eccc3. esx-3 type vii secretion system protein. possible membrane protein.	56	0.0	1.0	0.98	6.00	0.45325	0.77196
MB0293	PE5	pe family protein pe5	5	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0294	PPE4	ppe family protein ppe4	30	0.9	0.0	-0.93	10.00	0.45325	0.77196
MB0295	esxG	ESAT-6-like protein EsxG	5	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0296	esxH	low molecular weight protein antigen 7 esxh (10 kda antigen) (cfp-7) (protein tb10.4)	6	3.5	168.9	5.61	60.00	0.40848	0.75481
MB0297	espg3	esx-3 secretion-associated protein espg3	12	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0298	eccd3	esx conserved component eccd3. esx-3 type vii secretion system protein. probable transmembrane protein.	15	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0299	mycp3	probable membrane-anchored mycosin mycp3 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-3)	10	0.0	2.7	1.88	6.00	0.45325	0.77196
MB0300	ecce3	esx conserved component ecce3. esx-3 type vii secretion system protein. probable transmembrane protein.	16	34.1	86.2	1.34	502.00	0.87855	1.00000
MB0301c	NA	conserved protein	25	159.0	360.8	1.18	2961.00	0.09854	0.38548
MB0302	tam	PROBABLE TRANS-ACONITATE METHYLTRANSFERASE TAM	14	138.6	146.4	0.08	871.50	0.43199	0.77196
MB0303c	stf0	Sulfotransferase	7	201.3	445.6	1.15	153.00	0.31669	0.66697
MB0304c	NA	PROBABLE SULFATASE	36	176.0	161.5	-0.12	6989.00	0.11354	0.41640
MB0305	PE_PGRS5	pe-pgrs family protein pe_pgrs5	9	230.2	398.9	0.79	391.00	0.99340	1.00000
MB0306	NA	Programmed cell death antitoxin YdcD	5	233.9	69.4	-1.75	304.00	0.00358	0.08067
MB0307	NA	Programmed cell death toxin YdcE	2	77.2	874.4	3.50	33.00	0.95700	1.00000
MB0308	vapb2	possible antitoxin vapb2	5	334.9	1104.9	1.72	189.00	0.77469	1.00000
MB0309	vapc2	possible toxin vapc2	7	556.8	322.3	-0.79	483.00	0.13428	0.44952
MB0310	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)	7	330.7	378.3	0.19	373.00	0.75714	0.99339
MB0311	NA	PROBABLE DEHYDROGENASE/REDUCTASE	12	167.0	135.2	-0.30	1133.50	0.89108	1.00000
MB0312c	PPE5	ppe family protein ppe5	61	126.7	149.2	0.24	25063.00	0.00272	0.07203
MB0313c	PPE6	ppe family protein ppe6	118	159.1	296.3	0.90	83027.00	0.12234	0.43069
MB0314	NA	PUTATIVE OXIDOREDUCTASE	8	237.3	226.3	-0.07	567.00	0.00330	0.07887
MB0315c	NA	unknown protein	8	436.3	400.4	-0.12	545.00	0.65497	0.93026
MB0316	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	14	163.8	91.0	-0.85	887.00	0.38456	0.73521
MB0317	NA	POSSIBLE CONSERVED EXPORTED PROTEIN	11	89.5	131.5	0.56	712.00	0.42441	0.77087
MB0318c	NA	Bile acid 7-alpha dehydratase BaiE (EC 4.2.1.106)	11	259.2	31.8	-3.03	530.00	0.00757	0.11680
MB0319	NA	unknown protein	17	178.5	122.1	-0.55	1235.00	0.48324	0.79760
MB0320	NA	FIG00821990: molecular chaperone	21	190.3	300.0	0.66	756.00	0.19816	0.53193
MB0321	NA	conserved protein	5	337.3	317.4	-0.09	218.00	0.63241	0.91524
MB0322c	NA	POSSIBLE CONSERVED MEMBRANE PROTEIN	6	609.5	724.5	0.25	311.50	0.63107	0.91494
MB0323	NA	POSSIBLE BETA-1,3-GLUCANASE PRECURSOR	9	279.9	280.3	0.00	761.00	0.18836	0.52036
MB0324	NA	POSSIBLE MUCONOLACTONE ISOMERASE	5	97.1	201.4	1.05	153.50	0.32499	0.67507
MB0325c	glpQ2	possible glycerophosphoryl diester phosphodiesterase glpq2 (glycerophosphodiester phosphodiesterase)	12	386.5	167.7	-1.20	1351.00	0.13506	0.45038
MB0326c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	8	79.4	287.8	1.86	498.00	0.84823	1.00000
MB0327	pcp	PROBABLE PYRROLIDONE-CARBOXYLATE PEPTIDASE PCP (5-OXOPROLYL-PEPTIDASE) (PYROGLUTAMYL-PEPTIDASE I) (PGP-I) (PYRASE)	8	296.4	298.1	0.01	253.00	0.12470	0.43296
MB0328	NA	POSSIBLE CONSERVED EXPORTED PROTEIN	15	209.9	274.0	0.38	1776.50	0.90236	1.00000
MB0329	dcd	PROBABLE DEOXYCYTIDINE TRIPHOSPHATE DEAMINASE DCD (DCTP DEAMINASE)	5	199.8	68.0	-1.56	190.50	0.79469	1.00000
MB0330	udgA	PROBABLE UDP-GLUCOSE 6-DEHYDROGENASE UDGA (UDP-GLC DEHYDROGENASE) (UDP-GLCDH) (UDPGDH)	22	86.0	66.6	-0.37	2979.00	0.70670	0.96263
MB0331c	NA	Mycothiol conjugate amidase Mca (Mycothiol S-conjugate amidase)	9	124.2	70.2	-0.82	868.00	0.00784	0.11896
MB0332	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY ARSR-FAMILY)	11	188.6	345.1	0.87	850.00	0.62134	0.90636
MB0333	NA	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	14	88.6	188.1	1.09	1626.00	0.05520	0.29613
MB0334c	cyp135A1	POSSIBLE CYTOCHROME P450 135A1 CYP135A1	23	151.3	169.1	0.16	2526.00	0.01050	0.13836
MB0335	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR/ACRR-FAMILY)	10	220.4	331.9	0.59	470.00	0.17777	0.51177
MB0336c	NA	SAM-dependent methyltransferase	8	220.5	255.2	0.21	492.50	0.08412	0.35583
MB0337c	NA	Transcriptional regulator, AcrR family	8	450.0	309.8	-0.54	326.00	0.42212	0.76843
MB0338	NA	POSSIBLE DEHYDROGENASE/REDUCTASE	16	142.5	335.3	1.23	1426.00	0.36379	0.71746
MB0339	NA	conserved protein	12	168.9	288.9	0.77	796.00	0.97204	1.00000
MB0340	NA	unknown protein	3	207.4	144.9	-0.52	96.00	0.16343	0.49425
MB0341	rmlA	alpha-d-glucose-1-phosphate thymidylyltransferase rmla (dtdp-glucose synthase) (dtdp-glucose pyrophosphorylase)	18	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0342c	PE6	pe family protein pe6	2	0.0	1.9	1.53	4.00	0.18588	0.51604
MB0343	NA	CONSERVED 13E12 REPEAT FAMILY PROTEIN	18	416.1	415.9	-0.00	2623.00	0.17143	0.50396
MB0344c	aspC	PROBABLE ASPARTATE AMINOTRANSFERASE ASPC (TRANSAMINASE A) (ASPAT)	19	123.0	364.0	1.57	2242.00	0.73919	0.98453
MB0345c	NA	probable iron-sulfur-binding reductase	35	0.6	0.0	-0.65	10.00	0.45325	0.77196
MB0346c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	23	227.4	174.1	-0.39	4801.00	0.00331	0.07887
MB0347	NA	conserved protein	5	124.9	122.4	-0.03	143.00	0.54676	0.84870
MB0348	iniB	ISONIAZID INDUCTIBLE GENE PROTEIN INIB	12	266.4	127.2	-1.07	1451.00	0.01521	0.15980
MB0349	iniA	ISONIAZID INDUCTIBLE GENE PROTEIN INIA	24	266.1	608.8	1.19	2958.00	0.79116	1.00000
MB0350	iniC	ISONIAZID INDUCTIBLE GENE PROTEIN INIC	11	125.9	116.6	-0.11	795.00	0.96028	1.00000
MB0351c	lpqJ	PROBABLE LIPOPROTEIN LPQJ	9	133.5	302.6	1.18	518.00	0.93972	1.00000
MB0353	NA	CONSERVED HYPOTHETICAL PROTEIN	4	104.9	10.5	-3.32	188.50	0.01818	0.17424
MB0354c	ansP2	POSSIBLE L-ASPARAGINE PERMEASE ANSP2 (L-ASPARAGINE TRANSPORT PROTEIN)	26	264.5	300.3	0.18	5410.00	0.29842	0.65390
